arm	repeat	class	status	candidates	opcheck_n	trace_n	untraced_n	h8_kw_prefilter	m12_kw_prefilter	logfile	unresolved	reasks
dismissal	2	C15	ok	1	10	10	0	1	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C15.log	2	0
dismissal	2	C19	failed(untraced-degraded)	0	10	10	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C19.log	0	1
dismissal	2	C22	ok	0	6	6	0	0	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C22.log	1	0
dismissal	2	C23	ok	1	7	7	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C23.log	1	0
dismissal	2	C2	ok	1	13	13	0	1	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C2.log	2	1
dismissal	2	C8	ok	1	4	4	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C8.log	0	0
dismissal	2	C9	failed(untraced-degraded)	0	8	8	0	1	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C9.log	0	1
OPERATOR-READ	arm=dismissal	repeat=2	H-8=UNRESOLVED (cited) — C22 and C23 both carry the check UNRESOLVED, citing TestPTStrategyImpl.sol:109-114; meets the pre-registered carry condition	M-12=MISS — C2 closed CLEAN citing IPendle.sol:16-19, which does not state the scaling
