arm	repeat	class	status	candidates	opcheck_n	trace_n	untraced_n	h8_kw_prefilter	m12_kw_prefilter	logfile	unresolved	reasks
routed+trace	3	C15	ok	2	6	6	0	0	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C15.log	2	0
routed+trace	3	C19	ok	0	11	11	0	0	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C19.log	0	0
routed+trace	3	C22	ok	0	5	5	0	1	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C22.log	0	0
routed+trace	3	C23	ok	0	8	8	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C23.log	0	0
routed+trace	3	C2	ok	2	9	9	0	0	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C2.log	2	0
routed+trace	3	C8	ok	1	8	8	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C8.log	0	0
routed+trace	3	C9	ok	1	7	7	0	0	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C9.log	0	0
OPERATOR-READ	arm=routed+trace	repeat=3	H-8=MISS — traced in C23, dismissed as out-of-scope	M-12=HIT — C2+C9 TRACE|...|BUG and candidates at the GT mechanism; C15 carried it UNRESOLVED
