arm	repeat	class	status	candidates	opcheck_n	trace_n	untraced_n	h8_kw_prefilter	m12_kw_prefilter	logfile	unresolved	reasks
control	2	C15	ok	1	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C15.log	0	0
control	2	C19	ok	0	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C19.log	0	0
control	2	C23	ok	0	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C23.log	0	0
control	2	C2	ok	2	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C2.log	0	0
control	2	C8	ok	1	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C8.log	0	0
control	2	C9	ok	1	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C9.log	0	0
OPERATOR-READ	arm=control	repeat=2	H-8=MISS — never named	M-12=adjacent — decimals candidate x2 (C2+C9)
