arm	repeat	class	status	candidates	opcheck_n	trace_n	untraced_n	h8_kw_prefilter	m12_kw_prefilter	logfile	unresolved	reasks
routed	3	C15	ok	1	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C15.log	0	0
routed	3	C19	ok	0	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C19.log	0	0
routed	3	C22	ok	0	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C22.log	0	0
routed	3	C23	ok	0	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C23.log	0	0
routed	3	C2	ok	2	0	0	0	0	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C2.log	0	0
routed	3	C8	ok	1	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C8.log	0	0
routed	3	C9	ok	0	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C9.log	0	0
OPERATOR-READ	arm=routed	repeat=3	H-8=MISS — C22 answered bare SAFE, no visible analysis	M-12=HIT — C2 candidate at _getPTRate, 1e18 assumption false for non-18-dec markets
