ModelID	is_rms	NAMPT	RPL5
ACH-000001	0	-0.12089485772482561	-2.839336634727115
ACH-000004	0	-1.056148575227925	-2.312560328387193
ACH-000005	0	-0.9104701598260705	-2.981765583940764
ACH-000007	0	-0.5126677472299612	-2.5630074255321755
ACH-000009	0	-0.11517561885149386	-2.2128131179080635
ACH-000011	0	-0.12370037826628899	-2.5371881775667173
ACH-000012	0	-0.22163956485268926	-2.8415322615405745
ACH-000013	0	-0.20474380994927985	-2.208130094242633
ACH-000014	0	-0.05054221510613699	-2.2773597423151113
ACH-000015	0	-0.10540674103809466	-2.1864680875131053
ACH-000017	0	-0.07071657470980763	-2.3065086443246843
ACH-000018	0	-0.09412378609691852	-2.90999907304105
ACH-000019	0	-0.9573918558541411	-2.493148387943035
ACH-000021	0	-0.28738565675433003	-2.054759995471844
ACH-000022	0	-0.3616295464798434	-2.8656497055244694
ACH-000023	0	-0.17596006586573815	-1.5612211026956748
ACH-000024	0	-1.2250984222938115	-3.500309626537486
ACH-000025	0	-0.20950963344991763	-2.472890611536787
ACH-000026	0	-0.617769670291795	-2.5985760646830003
ACH-000028	0	-0.7654277265912856	-2.263384355487131
ACH-000029	0	-0.14065522682777665	-2.518514199943394
ACH-000030	0	-1.3620145942217614	-2.646519534649251
ACH-000035	0	-0.2379212098939675	-1.8454830491522007
ACH-000036	0	-0.14652941479856574	-2.8368551585366832
ACH-000037	0	-0.16765626505492182	-2.799111266342376
ACH-000039	0	-0.39406396573419306	-3.029363785426866
ACH-000040	0	-0.15822042138085968	-2.873229185201484
ACH-000041	0	-0.19661589100496132	-2.1919083062599616
ACH-000042	0	-0.4235270488899043	-2.3019599900962042
ACH-000045	0	-1.0065187583110609	-2.737324957003035
ACH-000047	0	-1.199863043765713	-2.2625764295342057
ACH-000048	0	-0.2251354286817086	-2.7079584829996874
ACH-000052	0	-0.14086984771356742	-2.9941675772453866
ACH-000053	0	-1.044347126282179	-3.2155324569209136
ACH-000054	0	-0.16653439905440315	-2.535473495539821
ACH-000055	0	-0.316592049659429	-2.6121083867385275
ACH-000060	0	-0.22226042965082324	-2.7176256155716474
ACH-000067	0	-0.14717376943660215	-3.0252182020007488
ACH-000070	0	-1.259688969799979	-3.0306454435747967
ACH-000074	0	-1.4293560534106324	-2.4252292387880736
ACH-000075	0	-0.2947835379185053	-3.106697892755175
ACH-000076	0	-0.8585755180119277	-2.2814527956886668
ACH-000077	0	-0.8888715558488414	-2.2692240515880333
ACH-000078	0	-0.2910176270346252	-2.7849551620039974
ACH-000082	0	-0.11655578104702313	-2.8472782372028513
ACH-000085	0	0.12859400084467199	-2.6308789132974435
ACH-000086	0	-0.1179247914935968	-2.3346631459352007
ACH-000087	0	-0.375612762463495	-2.398225629650633
ACH-000090	0	-0.5511541513302618	-3.2470131961480595
ACH-000092	0	-0.13000380414399004	-2.6292654889759572
ACH-000093	0	-0.2540596785755319	-2.2712858417643194
ACH-000094	0	-0.6722924795216043	-2.226632440201464
ACH-000095	0	-0.16523600393703952	-2.4210399265044638
ACH-000096	0	-0.20730280494332792	-2.5749266317580393
ACH-000097	0	-1.0395842866718392	-2.1952781515828232
ACH-000098	0	-0.16441808282829906	-2.5333018691150477
ACH-000099	0	-0.31022842704898956	-2.796454326269303
ACH-000100	1	-0.10793335825984601	-2.3221593009091794
ACH-000101	0	-0.9108712978500613	-2.556576935561688
ACH-000103	0	-0.9112579665515439	-2.4758201162145785
ACH-000106	0	-0.5427199760856909	-3.0382987328512163
ACH-000108	0	-1.0733250921831887	-2.2746136381139244
ACH-000111	0	-1.154294771641868	-2.5368086866553856
ACH-000113	0	-1.4962396375649387	-2.6917748190167283
ACH-000114	0	-0.11933791806500932	-2.6163367002030733
ACH-000115	0	-0.20987706531173558	-1.8943590972381221
ACH-000116	0	-0.10850200371962582	-2.4895544757065062
ACH-000118	0	-0.5882558415646214	-2.5082659101946034
ACH-000120	0	-0.24070973293805742	-2.485342510936867
ACH-000123	0	-0.2465116401152709	-2.5038267626471375
ACH-000124	0	-0.874151958221921	-3.2482674097208752
ACH-000127	0	-0.9594621342218055	-2.8534349810728603
ACH-000128	0	-0.30227566875361306	-2.39332734530324
ACH-000132	0	-0.08025373588878282	-3.2119048163950703
ACH-000133	0	-0.15694554600264177	-2.682725038660701
ACH-000137	0	-0.13476894759783942	-2.4439169592902417
ACH-000138	0	-0.15488183235313807	-2.631089774276925
ACH-000139	0	-0.329595024368821	-2.3774356475873866
ACH-000141	0	-0.1800276933076208	-2.351002817298585
ACH-000142	0	-0.11454185625699576	-2.5264008576392114
ACH-000143	0	-0.3577489542649252	-2.615291727669242
ACH-000144	0	-0.4578193921070718	-2.9525977679511457
ACH-000145	0	-0.07961113607912768	-2.556036044732227
ACH-000146	0	-1.6271121172284841	-2.5301528584167805
ACH-000147	0	-0.8307608322868296	-1.8344157366317715
ACH-000148	0	-0.3805003896025942	-2.3806267739671796
ACH-000149	0	-0.7152994853770702	-1.7594537739803329
ACH-000151	0	-1.0651531806314414	-3.116386097764108
ACH-000152	0	-0.183913118665347	-2.8048565818701134
ACH-000153	0	-0.1625747625042256	-2.0216605367638927
ACH-000155	0	-0.43649503881696355	-1.1390945141801274
ACH-000159	0	-0.4089238752827797	-2.902173810573174
ACH-000160	0	-0.22937425920838134	-2.031591448619039
ACH-000161	0	-0.19669753313337374	-2.778394049388497
ACH-000163	0	-0.16746263989360638	-2.6019291024470856
ACH-000164	0	-0.04716354911872955	-2.1938776253658916
ACH-000167	0	-0.8124917679029974	-2.9545954652177393
ACH-000168	0	-1.8151958290594479	-2.364153889793843
ACH-000169	1	-0.22342321945904864	-3.0782951751218475
ACH-000172	0	-0.07280766415846596	-2.953652466964956
ACH-000174	0	-0.36846581194665023	-2.994675413672697
ACH-000176	0	-0.2326592505159071	-2.463606756456516
ACH-000178	0	-0.580329723659134	-2.5085697944822694
ACH-000181	0	-0.16950107755758687	-3.0976993026477984
ACH-000182	0	-0.4964038374377	-2.4425247998648483
ACH-000183	0	-1.0851165751641472	-1.9980544636461226
ACH-000187	0	-0.8265881413659573	-2.5606809249683447
ACH-000188	0	-0.26636414573057887	-2.75925081289149
ACH-000189	0	-0.20724182294647023	-2.7610653533562957
ACH-000190	0	-0.04889464174005104	-2.971481113559331
ACH-000191	0	-0.2194414629398779	-2.482361662473157
ACH-000192	0	-0.16847102847845463	-2.3441240207636174
ACH-000195	0	-1.0623665364201367	-2.5517655256659113
ACH-000198	0	-1.058224818523549	-2.882530860654672
ACH-000200	0	-0.28216088662521566	-3.0851977892522986
ACH-000202	0	-0.3086621001097123	-3.2109282888104715
ACH-000203	0	-0.1496444696319768	-2.7899015863507417
ACH-000204	0	-1.3449411536350357	-2.830031562931829
ACH-000206	0	-0.7404872682593746	-2.7368675190172773
ACH-000207	0	-0.040236189634160424	-2.0100589995793974
ACH-000208	0	-0.01123112486405431	-3.0006069741994827
ACH-000209	0	-0.36996192193848854	-2.659832270286637
ACH-000210	0	-0.4544653124235204	-3.0372983089022894
ACH-000211	0	-0.14184258544749656	-2.815587833937861
ACH-000212	0	-0.864042722237554	-2.069433867267606
ACH-000213	0	0.19093944439149646	-2.8808589854093243
ACH-000215	0	-0.19272646357291726	-2.343328025213531
ACH-000216	0	-0.4272736691749927	-2.6649054696462704
ACH-000217	0	-0.1674104151982489	-2.3540933493753458
ACH-000219	0	-0.25683024144728983	-2.2895008013280975
ACH-000221	0	-0.43945050565338384	-2.473630138823334
ACH-000222	0	-2.077140619552331	-2.699408165057418
ACH-000223	0	-0.4352870899491806	-2.2652798311687263
ACH-000226	0	-0.8989151233626306	-3.0863051361213523
ACH-000227	0	-0.20608430251965307	-3.1102115003152964
ACH-000228	0	-0.13686793210791637	-2.097507866849252
ACH-000231	0	-0.16099921243403553	-3.509862119777779
ACH-000232	0	-0.23364666654684443	-2.1392782400291046
ACH-000233	0	-0.8845267274421802	-2.720844290041209
ACH-000234	0	-0.32553707800461207	-2.8152231434238106
ACH-000235	0	-0.8500665528903273	-2.8717907522267407
ACH-000237	0	-0.2744712983559313	-2.1683317055225966
ACH-000238	0	-0.06635026684510542	-2.365691524859148
ACH-000239	0	-0.4385156534408966	-2.9572327555959053
ACH-000242	0	-0.4591784979681548	-3.0670270982751644
ACH-000243	0	-0.28121223593930234	-3.235127057486852
ACH-000244	0	-0.13493732371906314	-2.445588290615794
ACH-000246	0	-0.22489360892675936	-2.5549280933714464
ACH-000247	0	-0.42933158566453233	-2.4521779010169484
ACH-000248	0	-0.6150371785556953	-2.6497788305977714
ACH-000249	0	-0.2617931388462257	-2.1245300966422187
ACH-000250	0	-0.16680076723830317	-2.9192241724116568
ACH-000251	0	-0.6978852489600799	-2.8177937131068926
ACH-000252	0	-0.07468464910953271	-2.8133539481592567
ACH-000253	0	-1.1440350052077606	-3.2214200338720076
ACH-000255	0	-0.11003905807953895	-3.0875775758693464
ACH-000256	0	-0.15949563939688538	-2.2881898593907284
ACH-000257	0	-0.6451824969381508	-2.232142372789858
ACH-000258	0	-0.817238146245255	-2.3480544893144777
ACH-000259	0	-0.33113966328045435	-2.6748991180813513
ACH-000260	0	-0.18214803473510144	-2.709680026917216
ACH-000261	0	-0.18942213965775015	-2.712137256832538
ACH-000262	0	-0.01659968909093995	-2.460801632588878
ACH-000263	0	-0.8597156953921756	-2.9067003653012753
ACH-000264	0	-0.1843289275171442	-2.443610463896813
ACH-000265	0	-0.25836595045799515	-2.667173522934446
ACH-000266	0	-0.20769615706377811	-3.116185149373753
ACH-000268	0	-0.3278005238341579	-2.243019963748777
ACH-000269	0	0.0373545929408971	-3.3094876869160808
ACH-000271	0	-1.4350608927739605	-3.4373360247844382
ACH-000272	0	-0.8814076740148244	-2.8848144493545047
ACH-000273	0	-0.7119622459666255	-2.808770813959543
ACH-000274	0	-0.18580755840447793	-2.6092693907075883
ACH-000276	0	-0.10549667912035166	-2.657452632448929
ACH-000277	0	-1.1024762698165684	-2.5207277169915887
ACH-000278	0	-0.4134163335789059	-2.5289973156923966
ACH-000279	0	-0.6268382325487818	-2.380245278551549
ACH-000280	0	-0.05531497656968337	-2.0973904451601815
ACH-000281	0	-0.4390711935008518	-2.397005589346566
ACH-000286	0	-0.6890714516648817	-2.0409116836650654
ACH-000288	0	-0.19923455424407158	-2.230028523223781
ACH-000290	0	-1.2349406434907877	-2.4573548571428883
ACH-000291	0	-0.24404297580736464	-3.088757645816013
ACH-000292	0	-0.19375593866589372	-2.489309996576449
ACH-000293	0	-0.1859953374255359	-2.7749548646271727
ACH-000294	0	-0.663114837704337	-2.1977971446224474
ACH-000295	0	-0.8463464576724802	-2.809026994442255
ACH-000296	0	-0.5456142405762093	-2.059676699838666
ACH-000302	0	-0.12008190464377222	-2.1488328567819597
ACH-000303	0	-1.4602035227654748	-2.1777890323074085
ACH-000304	0	-0.1959419198193555	-2.7683285221890737
ACH-000305	0	-0.07494894795624363	-2.360596751073376
ACH-000307	0	-0.2418437770522614	-2.1894840988086246
ACH-000308	0	-1.131743204572857	-2.251899371108478
ACH-000310	0	-0.2784335203650813	-3.4126998931489068
ACH-000311	0	0.006487458422986814	-2.914223639474171
ACH-000312	0	-0.15727626462419791	-3.1453967453044656
ACH-000313	0	-0.10290259988715766	-3.1062240391002303
ACH-000315	0	-0.723743092907595	-2.32801562693154
ACH-000316	0	-0.30585790908555877	-2.1754688387514394
ACH-000317	0	-0.28924125564353487	-2.135608591367133
ACH-000318	0	-0.4657466590416989	-2.3625301041692612
ACH-000319	0	-0.182546506919381	-2.657383819964578
ACH-000320	0	-0.29127704945185945	-2.691900088506786
ACH-000322	0	-0.2726948521495106	-2.2572722657918867
ACH-000323	0	-0.12652435704873	-2.923921057959766
ACH-000324	0	-0.22748914450133265	-2.7991357874427174
ACH-000325	0	-1.0324936315496118	-3.0076990158488064
ACH-000326	0	-0.9309059523027245	-2.2273901814369808
ACH-000329	0	-0.10456127063848036	-2.458786870186322
ACH-000330	0	-1.2435936359641624	-1.82883480313
