arm	repeat	class	status	candidates	opcheck_n	trace_n	untraced_n	h8_kw_prefilter	m12_kw_prefilter	logfile	unresolved	reasks
routed+trace	1	C15	ok	1	7	7	0	1	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C15.log	1	0
routed+trace	1	C19	ok	0	9	9	0	0	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C19.log	0	0
routed+trace	1	C22	ok	0	5	5	0	1	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C22.log	0	0
routed+trace	1	C23	ok	0	8	8	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C23.log	1	0
routed+trace	1	C2	ok	2	12	12	0	1	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C2.log	2	0
routed+trace	1	C8	ok	1	6	6	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C8.log	0	0
routed+trace	1	C9	ok	0	9	9	0	1	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C9.log	0	0
OPERATOR-READ	arm=routed+trace	repeat=1	H-8=MISS — traced in C22+C23, dismissed both times by the same trusted-deployer heuristic	M-12=MISS — traced CLEAN in C2/C9/C15 on an asserted, unverified external-protocol fact
