arm	repeat	class	status	candidates	opcheck_n	trace_n	untraced_n	h8_kw_prefilter	m12_kw_prefilter	logfile	unresolved	reasks
dismissal	1	C15	ok	1	8	8	0	1	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C15.log	0	0
dismissal	1	C19	failed(untraced-degraded)	0	9	9	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C19.log	0	1
dismissal	1	C22	ok	0	5	5	0	1	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C22.log	0	0
dismissal	1	C23	failed(untraced-degraded)	0	7	7	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C23.log	1	1
dismissal	1	C2	ok	1	10	10	0	1	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C2.log	1	0
dismissal	1	C8	ok	1	7	7	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C8.log	0	0
dismissal	1	C9	ok	0	9	9	0	0	1	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C9.log	0	0
OPERATOR-READ	arm=dismissal	repeat=1	H-8=MISS — C22 cited the repo's TestPTStrategyImpl.sol and dismissed on a new checkable domain claim; C23 carried it UNRESOLVED but that cell was degraded by an unrelated uncited line	M-12=MISS — C2 closed CLEAN on a confabulated "verified against Pendle's documented convention" claim (no in-repo citation)
