arm	repeat	class	status	candidates	opcheck_n	trace_n	untraced_n	h8_kw_prefilter	m12_kw_prefilter	logfile	unresolved	reasks
routed	1	C15	ok	1	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C15.log	0	0
routed	1	C19	ok	0	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C19.log	0	0
routed	1	C22	ok	0	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C22.log	0	0
routed	1	C23	ok	0	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C23.log	0	0
routed	1	C2	ok	1	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C2.log	0	0
routed	1	C8	ok	1	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C8.log	0	0
routed	1	C9	ok	0	0	0	0	0	0	hunt_Custom_price_oracles_Curve_LP_Pendle_PT_C9.log	0	0
OPERATOR-READ	arm=routed	repeat=1	H-8=MISS — C22 found the referent mismatch, named its consequence, dismissed as trusted-deployer misconfiguration without checking the repo's own deploy/test setup	M-12=MISS
